date,margin_ratio_pct
2017-06-28,160.016237
2017-06-29,159.356228
2017-06-30,159.525098
2017-07-03,158.911952
2017-07-04,158.336143
2017-07-05,158.837909
2017-07-06,159.412899
2017-07-07,158.208058
2017-07-10,157.374380
2017-07-11,158.243753
2017-07-12,159.613780
2017-07-13,158.801165
2017-07-14,159.759719
2017-07-17,160.056112
2017-07-18,160.539824
2017-07-19,160.718195
2017-07-20,160.139979
2017-07-21,159.574873
2017-07-24,159.743408
2017-07-25,160.786283
2017-07-26,160.019242
2017-07-27,160.631743
2017-07-28,159.686433
2017-07-31,160.057932
2017-08-01,160.973082
2017-08-02,161.742786
2017-08-03,160.710835
2017-08-04,161.626276
2017-08-07,162.825839
2017-08-08,160.716570
2017-08-09,159.306699
2017-08-10,155.661180
2017-08-11,156.908020
2017-08-14,153.071836
2017-08-15,154.777359
2017-08-16,155.888356
2017-08-17,158.102775
2017-08-18,157.683520
2017-08-21,158.254012
2017-08-22,159.937641
2017-08-23,160.783896
2017-08-24,162.025435
2017-08-25,162.779860
2017-08-28,163.958838
2017-08-29,163.008708
2017-08-30,163.519050
2017-08-31,163.664196
2017-09-01,164.756587
2017-09-04,163.333935
2017-09-05,165.173399
2017-09-06,164.272809
2017-09-07,161.772751
2017-09-08,164.466995
2017-09-11,162.820210
2017-09-12,161.843356
2017-09-13,160.570355
2017-09-14,161.352199
2017-09-15,161.561357
2017-09-18,161.902389
2017-09-19,160.030901
2017-09-20,158.840882
2017-09-21,158.985975
2017-09-22,157.755344
2017-09-25,154.879772
2017-09-26,152.808655
2017-09-27,155.165773
2017-09-28,155.486326
2017-09-29,154.762601
2017-10-02,158.588120
2017-10-03,158.845688
2017-10-05,160.283260
2017-10-06,160.168170
2017-10-11,158.952888
2017-10-12,159.959304
2017-10-13,160.412792
2017-10-16,160.271780
2017-10-17,159.288301
2017-10-18,158.550505
2017-10-19,160.200999
2017-10-20,160.050433
2017-10-23,160.084310
2017-10-24,161.255970
2017-10-25,160.681763
2017-10-26,161.706713
2017-10-27,158.362304
2017-10-30,158.828429
2017-10-31,160.561475
2017-11-01,161.159814
2017-11-02,160.444423
2017-11-03,160.470966
2017-11-06,160.448411
2017-11-07,160.512029
2017-11-08,160.687861
2017-11-09,157.148560
2017-11-10,157.609154
2017-11-13,155.246024
2017-11-14,155.646640
2017-11-15,155.407159
2017-11-16,155.776110
2017-11-17,157.320751
2017-11-20,157.184191
2017-11-21,159.685655
2017-11-22,159.955362
2017-11-23,160.579887
2017-11-24,159.950052
2017-11-27,158.827896
2017-11-28,158.335341
2017-11-29,158.367705
2017-11-30,157.254859
2017-12-01,155.121494
2017-12-04,155.495746
2017-12-05,153.666619
2017-12-06,150.529239
2017-12-07,149.495003
2017-12-08,150.911532
2017-12-11,153.968076
2017-12-12,152.884290
2017-12-13,153.226545
2017-12-14,153.334373
2017-12-15,152.534707
2017-12-18,152.517677
2017-12-19,152.098690
2017-12-20,153.711630
2017-12-21,153.659496
2017-12-22,153.537478
2017-12-25,153.285994
2017-12-26,150.710468
2017-12-27,151.641190
2017-12-28,153.327091
2017-12-29,153.532780
2018-01-02,155.261818
2018-01-03,155.812043
2018-01-04,157.781847
2018-01-05,158.059383
2018-01-08,157.095406
2018-01-09,156.402974
2018-01-10,155.084222
2018-01-11,155.945829
2018-01-12,157.944200
2018-01-15,159.087791
2018-01-16,160.639953
2018-01-17,160.505023
2018-01-18,159.204027
2018-01-19,159.151713
2018-01-22,160.340160
2018-01-23,159.599442
2018-01-24,160.352418
2018-01-25,158.280658
2018-01-26,159.207368
2018-01-29,159.634957
2018-01-30,157.716183
2018-01-31,158.284424
2018-02-01,157.938569
2018-02-02,157.474353
2018-02-05,154.907081
2018-02-06,145.683441
2018-02-07,147.581285
2018-02-08,146.104137
2018-02-09,145.381828
2018-02-12,145.985245
2018-02-21,151.817617
2018-02-22,152.707480
2018-02-23,154.022764
2018-02-26,154.047922
2018-02-27,153.802752
2018-03-01,154.462810
2018-03-02,153.549654
2018-03-05,151.834251
2018-03-06,152.587475
2018-03-07,152.303547
2018-03-08,153.849229
2018-03-09,153.956666
2018-03-12,154.420598
2018-03-13,155.681534
2018-03-14,155.045001
2018-03-15,156.005842
2018-03-16,155.304483
2018-03-19,155.351072
2018-03-20,155.062334
2018-03-21,155.976731
2018-03-22,153.276210
2018-03-23,151.293612
2018-03-26,151.538130
2018-03-27,153.112190
2018-03-28,151.563285
2018-03-29,151.505188
2018-03-30,151.659479
2018-04-02,152.621652
2018-04-03,152.088705
2018-04-09,152.260055
2018-04-10,152.000729
2018-04-11,152.875413
2018-04-12,153.001167
2018-04-13,153.384962
2018-04-16,153.140002
2018-04-17,150.031835
2018-04-18,150.417411
2018-04-19,151.980915
2018-04-20,150.525191
2018-04-23,149.257276
2018-04-24,145.167710
2018-04-25,147.035018
2018-04-26,143.442804
2018-04-27,142.859409
2018-04-30,147.528619
2018-05-02,146.969265
2018-05-03,145.828493
2018-05-04,145.912277
2018-05-07,147.654119
2018-05-08,148.243702
2018-05-09,148.505565
2018-05-10,149.680084
2018-05-11,149.490284
2018-05-14,151.413838
2018-05-15,150.915393
2018-05-16,150.532601
2018-05-17,149.714758
2018-05-18,149.936701
2018-05-21,152.527491
2018-05-22,148.013036
2018-05-23,150.964196
2018-05-24,152.512073
2018-05-25,152.925680
2018-05-28,154.637578
2018-05-29,154.115556
2018-05-30,153.369221
2018-05-31,152.504971
2018-06-01,154.495158
2018-06-04,156.988200
2018-06-05,156.448120
2018-06-06,159.211754
2018-06-07,160.288130
2018-06-08,158.978155
2018-06-11,160.051242
2018-06-12,159.706828
2018-06-13,159.011920
2018-06-14,157.906954
2018-06-15,159.009972
2018-06-19,156.240837
2018-06-20,151.823425
2018-06-21,154.500476
2018-06-22,152.181682
2018-06-25,151.149588
2018-06-26,151.970290
2018-06-27,151.434869
2018-06-28,151.251179
2018-06-29,153.066707
2018-07-02,154.011534
2018-07-03,151.544960
2018-07-04,152.161125
2018-07-05,148.955406
2018-07-06,149.685763
2018-07-09,149.759332
2018-07-10,151.571634
2018-07-11,150.435993
2018-07-12,152.762206
2018-07-13,154.389680
2018-07-16,153.311891
2018-07-17,152.210985
2018-07-18,151.488583
2018-07-19,151.901187
2018-07-20,150.443406
2018-07-23,150.019829
2018-07-24,152.277680
2018-07-25,152.897499
2018-07-26,153.202755
2018-07-27,154.500839
2018-07-30,151.557386
2018-07-31,151.767230
2018-08-01,152.425865
2018-08-02,149.219236
2018-08-03,150.395701
2018-08-06,150.860103
2018-08-07,150.988349
2018-08-08,150.571307
2018-08-09,150.280414
2018-08-10,148.292675
2018-08-13,143.442527
2018-08-14,145.435827
2018-08-15,143.096239
2018-08-16,144.214431
2018-08-17,143.128679
2018-08-20,143.061909
2018-08-21,145.328667
2018-08-22,145.054146
2018-08-23,144.358950
2018-08-24,144.193782
2018-08-27,147.386410
2018-08-28,148.006462
2018-08-29,149.124326
2018-08-30,148.433244
2018-08-31,149.070322
2018-09-03,145.403459
2018-09-04,146.307840
2018-09-05,145.788942
2018-09-06,144.310031
2018-09-07,140.869264
2018-09-10,137.406457
2018-09-11,139.384641
2018-09-12,138.210386
2018-09-13,138.488100
2018-09-14,142.165124
2018-09-17,142.159722
2018-09-18,140.074975
2018-09-19,141.521801
2018-09-20,140.425085
2018-09-21,142.681389
2018-09-25,144.106304
2018-09-26,144.450953
2018-09-27,143.529510
2018-09-28,143.857547
2018-10-01,144.979577
2018-10-02,143.509815
